carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
12097,audi, A7,2017,Semi-Auto,37000,Diesel,145,62.849,3,23450
12098,ford, KA,2013,Manual,51000,Petrol,30,57.8282,1.2,4490
12099,bmw, X7,2019,Automatic,7791,Diesel,145,33.4234,3,59988
12101,toyota, GT86,2018,Manual,15525,Petrol,150,36.5883,2,19995
12104,ford, Grand C-MAX,2017,Manual,6368,Diesel,30,64.2444,1.5,11498
12105,merc, X-CLASS,2019,Automatic,8974,Diesel,265,35.8228,2.3,22995
12106,hyundi, Santa Fe,2019,Semi-Auto,2000,Diesel,145,39.7822,2.2,32000
12107,bmw, i3,2016,Automatic,8421,Hybrid,0,77.9125,0,19490
12108,bmw, X6,2019,Semi-Auto,2500,Petrol,145,26.5015,3,59990
12109,bmw, 8 Series,2019,Semi-Auto,5923,Diesel,150,39.8443,3,59000
12110,vw, Caddy,2015,Manual,45500,Diesel,160,49.3252,2,13590
12111,vw, CC,2015,Manual,83009,Diesel,30,60.3319,2,8337
12112,toyota, Avensis,2014,Manual,44537,Diesel,30,61.757,2,7999
12113,ford, Edge,2018,Semi-Auto,19364,Diesel,145,47.9662,2,25498
12114,vw, Beetle,2016,Semi-Auto,44533,Petrol,200,41.7938,2,14490
12115,merc, M Class,2013,Automatic,70710,Diesel,300,39.5877,3,16490
12117,ford, Grand C-MAX,2017,Semi-Auto,10295,Diesel,30,58.6589,1.5,10499
12118,skoda, Scala,2020,Semi-Auto,1700,Petrol,145,47.4584,1,16995
12120,ford, Galaxy,2017,Manual,22995,Diesel,125,56.313,2,19995
12121,vw, Tiguan Allspace,2018,Semi-Auto,8019,Diesel,145,47.5973,2,25499
12123,skoda, Kamiq,2019,Manual,2500,Petrol,145,47.7062,1,19950
12124,merc, GL Class,2017,Automatic,30827,Diesel,200,47.8718,2.1,27999
12125,vw, Shuttle,2019,Semi-Auto,14028,Diesel,145,32.8536,2,28995
12126,audi, RS6,2020,Automatic,3000,Petrol,145,22.0896,4,104948
12127,vauxhall, Combo Life,2019,Manual,4912,Diesel,145,53.3132,1.5,17994
12128,toyota, Prius,2017,Automatic,37071,Hybrid,135,85.3043,1.8,17498
12130,ford, KA,2017,Manual,16001,Petrol,145,57.8561,1.2,7699
12131,ford, KA,2010,Manual,61575,Petrol,30,55.5496,1.2,3690
12132,bmw, 7 Series,2016,Automatic,34000,Diesel,125,57.8629,3,23990
12134,merc, CLS Class,2019,Semi-Auto,3194,Diesel,145,45.7843,2,39999
12135,toyota, Prius,2019,Automatic,6500,Hybrid,135,64.3371,1.8,24695
12137,bmw, Z3,1999,Manual,58000,Petrol,270,35.3077,1.9,3950
12139,vauxhall, GTC,2014,Manual,52994,Diesel,125,59.8216,2,6349
12140,bmw, 6 Series,2014,Automatic,59295,Diesel,160,49.2898,3,16500
12143,hyundi, I40,2016,Manual,38259,Diesel,30,65.7094,1.7,9698
12144,ford, Mustang,2017,Manual,20700,Petrol,150,20.8877,5,27500
12145,skoda, Scala,2019,Manual,4352,Petrol,145,49.7584,1,15795
12146,ford, KA,2009,Manual,68441,Petrol,30,55.2834,1.2,3295
12147,audi, RS3,2016,Automatic,36123,Petrol,305,35.1589,2.5,33000
12148,hyundi, IX20,2017,Manual,37682,Diesel,30,64.3592,1.6,8650
12149,hyundi, IX20,2017,Automatic,4076,Petrol,145,43.4979,1.6,11199
12150,vw, Caravelle,2019,Automatic,11163,Diesel,145,33.6823,2,44500
12152,bmw, Z4,2016,Semi-Auto,25300,Petrol,205,41.5099,2,18650
12154,vw, Arteon,2019,Semi-Auto,3111,Petrol,145,46.7099,2,27990
12156,hyundi, Santa Fe,2019,Semi-Auto,6982,Diesel,145,39.0334,2.2,33949
12157,vw, Scirocco,2014,Manual,46806,Diesel,30,62.7222,2,10000
12159,hyundi, IX20,2015,Manual,27399,Petrol,125,50.7058,1.4,7699
12161,vw, Arteon,2018,Automatic,20159,Petrol,145,47.2247,2,20990
12162,vw, Arteon,2019,Semi-Auto,6627,Diesel,145,50.6487,2,25890
12163,merc, V Class,2017,Semi-Auto,58590,Diesel,235,44.7556,2.2,27998
12164,bmw, 7 Series,2019,Automatic,339,Petrol,145,34.0718,3,47980
12165,vauxhall, Combo Life,2019,Manual,2048,Diesel,145,53.0751,1.5,19995
12168,ford, Mustang,2017,Automatic,7546,Petrol,145,23.682,5,48999
12169,toyota, Avensis,2012,Automatic,58000,Petrol,200,42.1771,1.8,8995
12170,hyundi, IX35,2015,Manual,28040,Diesel,145,53.3208,1.7,9099
12171,merc, V Class,2019,Automatic,2550,Diesel,145,36.4012,2,47950
12172,bmw, 6 Series,2017,Automatic,14400,Diesel,160,51.2312,3,22449
12174,vw, Arteon,2018,Automatic,9288,Diesel,145,44.1048,2,23700
12175,audi, A8,2020,Semi-Auto,1100,Diesel,145,40.6999,3,52995
12176,vw, Beetle,2016,Manual,19039,Petrol,145,48.8644,1.4,11990
12177,skoda, Scala,2019,Manual,7000,Petrol,145,49.1763,1,14990
12178,toyota, Avensis,2015,Manual,51500,Diesel,30,61.2507,2,8495
12185,bmw, M2,2019,Semi-Auto,19548,Petrol,145,29.1378,3,37990
12188,hyundi, Santa Fe,2019,Automatic,20,Diesel,145,39.7991,2.2,32489
12189,merc, CLS Class,2019,Semi-Auto,8697,Petrol,145,31.747,3,68000
12190,skoda, Rapid,2019,Manual,14837,Petrol,145,58.8762,1,9498
12192,bmw, X6,2016,Semi-Auto,29211,Diesel,205,46.7872,3,20950
12194,merc, GL Class,2016,Automatic,36000,Diesel,235,43.247,3,27990
12195,vw, CC,2017,Semi-Auto,17955,Diesel,125,58.9499,2,15490
12197,hyundi, I40,2015,Manual,22000,Diesel,20,67.4508,1.7,8495
12198,bmw, X7,2019,Semi-Auto,10,Diesel,145,31.8794,3,76970
12200,vw, Scirocco,2017,Manual,25150,Diesel,145,63.9869,2,17999
12202,ford, Edge,2017,Semi-Auto,19552,Diesel,200,47.6717,2,22500
12204,skoda, Yeti,2017,Manual,53033,Diesel,30,62.7743,2,9999
12205,vw, Tiguan Allspace,2019,Automatic,4635,Diesel,145,38.4269,2,27989
12206,vauxhall, Combo Life,2019,Manual,14500,Diesel,145,53.4371,1.5,15999
12207,hyundi, IX20,2017,Manual,10279,Petrol,145,50.4664,1.4,9795
12209,skoda, Kamiq,2019,Manual,2300,Petrol,145,47.647,1,17169
12212,vauxhall, GTC,2017,Manual,34404,Petrol,145,36.3116,2,14950
12213,ford, Tourneo Connect,2016,Manual,42960,Diesel,30,61.4091,1.5,8998
12214,ford, Grand C-MAX,2017,Manual,38967,Petrol,30,54.6476,1,10500
12215,vw, CC,2013,Manual,79303,Diesel,30,60.0396,2,7970
12216,ford, KA,2014,Manual,22888,Petrol,30,57.9786,1.2,5000
12217,merc, GL Class,2018,Automatic,2880,Diesel,145,56.4046,2.1,20999
12218,bmw, M2,2020,Semi-Auto,15,Petrol,150,28.8371,3,42999
12221,skoda, Yeti,2014,Manual,45505,Diesel,145,55.2056,2,8250
12222,vw, Shuttle,2018,Semi-Auto,3768,Diesel,145,45.7476,2,28900
12223,ford, Galaxy,2017,Automatic,7743,Diesel,145,52.5789,2,20627
12225,bmw, X4,2015,Automatic,31723,Diesel,200,47.6463,3,23500
12226,hyundi, I800,2018,Manual,33173,Diesel,145,37.9321,2.5,15499
12227,merc, CLS Class,2019,Automatic,6273,Diesel,145,48.8272,2.9,35980
12229,merc, V Class,2019,Automatic,3442,Diesel,150,39.827,2.1,25991
12230,audi, Q8,2019,Semi-Auto,2715,Diesel,145,33.4849,3,51950
12234,skoda, Scala,2019,Manual,4050,Petrol,145,49.7035,1,14999
12236,hyundi, Getz,2003,Automatic,51000,Petrol,260,37.5337,1.6,1990
12237,merc, SLK,2014,Semi-Auto,34170,Petrol,200,43.3351,2,13650
12239,vauxhall, Combo Life,2018,Manual,34138,Diesel,145,53.3576,1.5,12816
12240,vw, Beetle,2017,Manual,30446,Petrol,145,53.2575,1.2,12240
12241,hyundi, I40,2016,Manual,29347,Diesel,30,65.5256,1.7,10998
12242,audi, R8,2013,Manual,19834,Petrol,570,19.5436,4.2,47995
12243,vw, Jetta,2015,Manual,35242,Diesel,20,70.6392,2,7999
12244,ford, Edge,2016,Manual,30000,Diesel,160,48.5017,2,17991
12246,hyundi, IX20,2016,Manual,20347,Petrol,125,50.552,1.4,7327
12249,ford, Puma,2019,Manual,1606,Petrol,145,50.2021,1,23999
12251,bmw, 8 Series,2020,Semi-Auto,151,Diesel,145,26.7376,3,79991
12252,ford, Edge,2017,Manual,19175,Diesel,150,48.7141,2,20495
12253,merc, V Class,2019,Automatic,999,Diesel,145,36.8313,2,47999
12255,merc, CLS Class,2016,Automatic,32611,Diesel,165,49.1903,3,22684
12257,audi, A7,2019,Semi-Auto,4100,Diesel,145,47.4788,2,33990
12260,skoda, Scala,2020,Manual,1656,Petrol,145,50.7224,1,14995
12261,ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3287,1,12490
12262,ford, Grand C-MAX,2017,Manual,17242,Diesel,30,63.9968,1.5,12444
12263,hyundi, I800,2016,Automatic,51446,Diesel,325,33.7416,2.5,14300
12267,bmw, Z4,2003,Automatic,70000,Petrol,325,29.7546,3,3495
12269,hyundi, Santa Fe,2019,Semi-Auto,25,Diesel,145,40.0309,2.2,35495
12271,toyota, Prius,2016,Automatic,23300,Hybrid,0,85.7752,1.8,18690
12272,ford, Grand Tourneo Connect,2019,Manual,542,Diesel,145,61.3436,1.5,18500
12273,merc, GLS Class,2016,Automatic,32505,Diesel,305,37.3279,3,34763
12275,merc, SLK,2016,Semi-Auto,36363,Diesel,30,70.5987,2,16480
12278,hyundi, Santa Fe,2019,Semi-Auto,130,Diesel,145,42.6603,2.2,31995
12280,vw, CC,2013,Manual,62541,Diesel,30,60.0561,2,7820
12281,ford, Galaxy,2019,Automatic,600,Diesel,145,43.385,2,23950
12282,merc, GL Class,2015,Automatic,51081,Diesel,325,36.1479,3,28975
12285,toyota, Prius,2011,Manual,112000,Other,0,70.8827,1.8,7250
12286,merc, CLA Class,2017,Manual,35580,Petrol,150,48.693,1.6,16600
12288,merc, CLS Class,2018,Automatic,17663,Diesel,145,49.0418,2.9,31026
12290,skoda, Rapid,2017,Manual,36348,Petrol,30,58.1607,1.2,7995
12293,merc, SLK,2008,Automatic,58000,Petrol,330,29.8011,3,7495
12294,hyundi, Santa Fe,2018,Semi-Auto,17496,Diesel,145,39.0356,2.2,29498
12296,vauxhall, GTC,2015,Manual,62700,Diesel,125,60.0688,2,6645
12297,vw, Amarok,2018,Automatic,4980,Diesel,260,33.6311,3,30999
12301,toyota, Prius,2016,Automatic,48297,Hybrid,0,85.55,1.8,17650
12302,audi, A8,2019,Automatic,178,Diesel,145,39.214,3,52850
12303,vw, Arteon,2018,Semi-Auto,4350,Diesel,145,52.2603,2,22785
12304,toyota, Verso,2018,Manual,7074,Diesel,145,62.7029,1.6,13965
12305,vw, Scirocco,2015,Semi-Auto,46463,Diesel,125,53.5131,2,11950
12306,toyota, Prius,2019,Automatic,1626,Hybrid,135,64.2065,1.8,22995
12307,ford, Galaxy,2017,Semi-Auto,36708,Diesel,145,52.2154,2,19000
12308,vw, Caddy Maxi Life,2019,Semi-Auto,3818,Diesel,145,46.3378,2,19999
12310,ford, KA,2014,Manual,32385,Petrol,30,57.6263,1.2,5997
12313,bmw, 6 Series,2016,Automatic,17264,Petrol,325,32.5201,4.4,26976
12315,vw, Shuttle,2019,Semi-Auto,12316,Diesel,145,32.7895,2,36995
12316,toyota, Prius,2016,Automatic,46994,Hybrid,0,85.5123,1.8,16999
12317,vw, CC,2013,Automatic,41394,Diesel,145,53.0821,2,10000
12319,bmw, 6 Series,2017,Semi-Auto,25975,Diesel,160,51.0497,3,23990
12322,audi, A7,2016,Semi-Auto,40809,Diesel,125,61.3183,3,19698
12323,toyota, Land Cruiser,2006,Automatic,113000,Diesel,555,31.2009,3,7240
12327,merc, SLK,2014,Automatic,30769,Diesel,145,56.5296,2,11699
12330,bmw, X6,2020,Semi-Auto,3200,Diesel,145,34.7253,3,52990
12334,bmw, X7,2020,Semi-Auto,1501,Diesel,145,33.311,3,64995
12335,bmw, X4,2019,Automatic,5980,Diesel,145,37.104,3,42995
12336,audi, A7,2013,Automatic,76597,Diesel,200,48.1549,3,14699
12337,toyota, Verso,2011,Manual,47570,Petrol,200,41.2256,1.6,6795
12339,bmw, M4,2019,Semi-Auto,12,Petrol,145,32.4334,3,48940
12340,skoda, Rapid,2017,Semi-Auto,25274,Diesel,0,74.479,1.4,9445
12341,hyundi, I800,2018,Manual,39101,Diesel,145,38.0474,2.5,14790
12342,audi, RS4,2019,Automatic,5151,Petrol,145,29.4375,2.9,58990
12343,skoda, Yeti,2014,Automatic,22776,Petrol,160,44.7688,1.2,10500
12344,bmw, M4,2019,Semi-Auto,2258,Petrol,145,33.7576,3,48000
12345,audi, Q8,2019,Semi-Auto,10000,Diesel,150,32.5686,3,65990
12347,vw, Beetle,2017,Manual,27321,Petrol,145,53.6698,1.2,11995
12348,merc, X-CLASS,2018,Automatic,3161,Diesel,260,31.1614,3,39000
12349,skoda, Roomster,2013,Manual,21462,Petrol,145,49.8567,1.2,6099
12350,skoda, Scala,2019,Semi-Auto,469,Diesel,145,53.9791,1.6,17750
12351,ford, Edge,2018,Semi-Auto,8044,Diesel,145,47.7651,2,27400
12352,toyota, Land Cruiser,2015,Semi-Auto,3790,Diesel,300,38.0528,2.8,35695
12353,toyota, Prius,2016,Automatic,9320,Hybrid,0,94.1678,1.8,19990
12356,merc, S Class,2019,Automatic,6501,Diesel,145,52.4008,3,58990
12357,skoda, Yeti,2016,Semi-Auto,23858,Petrol,125,51.3266,1.2,10999
12358,bmw, 6 Series,2015,Automatic,72720,Diesel,160,49.5005,3,16250
12361,toyota, Hilux,2018,Manual,12298,Diesel,265,40.2598,2.4,27950
12363,merc, CLS Class,2017,Semi-Auto,21218,Diesel,150,56.2488,2.1,22995
12366,merc, S Class,2019,Semi-Auto,7659,Diesel,145,52.4478,3,46980
12367,ford, Edge,2018,Automatic,24230,Diesel,145,47.9523,2,21810
12369,ford, Galaxy,2019,Manual,5612,Diesel,145,55.4712,2,27300
12370,bmw, Z4,2019,Semi-Auto,1561,Petrol,150,33.0644,3,38850
12371,bmw, 7 Series,2014,Semi-Auto,74269,Diesel,165,50.0422,3,18485
12372,toyota, Avensis,2017,Manual,37983,Diesel,145,67.1039,1.6,11795
12374,hyundi, IX20,2013,Manual,50227,Petrol,150,45.5618,1.4,5690
12375,vauxhall, Combo Life,2018,Manual,20203,Diesel,145,53.3572,1.5,13380
12377,vw, Shuttle,2019,Semi-Auto,3757,Diesel,145,33.189,2,30900
12380,hyundi, Santa Fe,2020,Semi-Auto,9,Diesel,145,39.2025,2.2,37995
12382,skoda, Rapid,2016,Manual,37412,Diesel,0,67.3413,1.6,8995
12383,bmw, M4,2019,Semi-Auto,13,Petrol,145,32.6799,3,48940
12385,merc, S Class,2018,Automatic,2499,Petrol,145,33.7652,4,79989
12387,vw, Beetle,2015,Manual,50000,Diesel,30,60.9279,2,10995
12389,vauxhall, Combo Life,2019,Manual,1903,Petrol,145,42.4212,1.2,13799
12390,bmw, X4,2019,Semi-Auto,8023,Petrol,145,26.9516,3,40999
12391,merc, SLK,2013,Automatic,49284,Petrol,200,43.2064,2,10857
12393,hyundi, I40,2013,Automatic,60790,Diesel,205,47.0912,1.7,6750
12394,hyundi, Santa Fe,2017,Semi-Auto,21891,Diesel,240,43.1599,2.2,19750
12395,ford, KA,2014,Manual,28883,Petrol,30,57.7393,1.2,4430
12396,merc, S Class,2019,Automatic,582,Hybrid,135,123.033,3,56499
12397,vauxhall, Combo Life,2019,Manual,9585,Petrol,145,42.0047,1.2,14691
12398,skoda, Yeti,2014,Manual,41936,Diesel,205,49.0354,2,9980
12399,vw, Arteon,2019,Automatic,3882,Petrol,145,46.8909,2,27240
12400,ford, Galaxy,2016,Manual,40080,Diesel,125,56.6276,2,18250
12403,vauxhall, Combo Life,2019,Manual,8987,Diesel,145,53.1084,1.5,13798
12404,audi, A7,2017,Semi-Auto,34132,Diesel,30,62.9364,3,21150
12406,merc, M Class,2010,Automatic,92000,Diesel,555,32.6007,3,9000
12408,skoda, Rapid,2017,Manual,22199,Petrol,30,57.736,1.2,10800
12409,merc, S Class,2020,Semi-Auto,3999,Diesel,145,40.5978,3,64980
12411,ford, Grand Tourneo Connect,2016,Automatic,44785,Diesel,125,56.4063,1.5,13500
12413,ford, KA,2011,Manual,64304,Petrol,30,57.5644,1.2,3000
12414,hyundi, I40,2016,Semi-Auto,29334,Diesel,125,56.8787,1.7,11598
12416,skoda, Rapid,2018,Manual,15258,Petrol,145,61.4841,1,10895
12418,bmw, X6,2020,Semi-Auto,5656,Diesel,150,33.1541,3,67990
12419,merc, SLK,2015,Automatic,31576,Diesel,30,70.5246,2.1,14800
12420,toyota, GT86,2019,Manual,489,Petrol,145,33.042,2,27950
12421,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150,32.6193,2,34950
12423,toyota, Prius,2019,Automatic,8925,Hybrid,135,64.3115,1.8,23690
12426,audi, A8,2013,Automatic,43052,Diesel,235,43.9805,3,16999
12427,merc, S Class,2015,Automatic,33462,Diesel,205,48.7078,3,26578
12428,toyota, Hilux,2014,Manual,93334,Diesel,260,38.7337,2.5,9694
12431,merc, V Class,2017,Semi-Auto,16830,Diesel,235,44.7404,2.2,35995
12433,hyundi, Santa Fe,2019,Semi-Auto,4890,Diesel,145,39.2069,2.2,34495
12435,vauxhall, Combo Life,2018,Manual,18,Diesel,145,53.3059,1.5,14377
12438,ford, Grand C-MAX,2018,Manual,13768,Petrol,145,47.3673,1,13800
12439,merc, X-CLASS,2019,Automatic,500,Diesel,260,35.8589,2.3,24945
12440,skoda, Yeti,2017,Semi-Auto,11000,Petrol,125,51.3959,1.2,14499
12441,bmw, X6,2016,Semi-Auto,26615,Diesel,200,44.7079,3,32800
12443,hyundi, IX35,2013,Manual,51400,Diesel,145,53.4075,1.7,7996
12445,merc, CLS Class,2012,Automatic,66880,Diesel,200,46.2204,3,12490
12446,hyundi, IX35,2015,Manual,49291,Diesel,150,53.6459,1.7,8498
12447,hyundi, Santa Fe,2019,Semi-Auto,13675,Diesel,150,39.3975,2.2,31390
12454,vw, Caravelle,2012,Semi-Auto,212000,Diesel,325,34.4424,2,11995
12455,bmw, 7 Series,2019,Semi-Auto,2212,Diesel,145,41.9347,3,45400
12456,vw, Tiguan Allspace,2020,Semi-Auto,5000,Diesel,145,38.4028,2,34250
12458,vw, Amarok,2019,Automatic,8000,Diesel,260,33.5265,3,35990
12459,merc, CLS Class,2016,Automatic,42651,Diesel,145,56.236,2.1,19383
12461,vw, Scirocco,2015,Manual,46027,Diesel,20,55.6277,2,11498
12462,hyundi, IX35,2014,Manual,31172,Diesel,145,53.3704,1.7,9295
12463,skoda, Rapid,2017,Manual,37188,Diesel,145,67.1774,1.6,8872
12464,vw, Arteon,2018,Manual,5317,Diesel,145,61.3742,2,20899
12466,audi, A8,2018,Automatic,11300,Diesel,145,50.4716,3,34399
12470,bmw, 8 Series,2019,Semi-Auto,12,Diesel,150,39.9023,3,57000
12471,merc, V Class,2020,Semi-Auto,2859,Diesel,145,36.238,2,43950
12472,ford, KA,2019,Manual,6000,Petrol,145,48.015,1.2,9000
12473,ford, Puma,2020,Manual,10,Petrol,145,50.3265,1,21495
12475,toyota, Prius,2008,Automatic,133107,Hybrid,10,65.3741,1.5,3995
12476,vw, Shuttle,2018,Manual,24511,Diesel,150,47.1265,2,18998
12477,ford, Puma,2020,Manual,1000,Petrol,150,49.5791,1,22998
12478,bmw, 7 Series,2016,Automatic,8814,Petrol,300,35.2923,4.4,35480
12479,hyundi, Santa Fe,2019,Automatic,100,Diesel,145,39.08,2.2,35985
12480,merc, X-CLASS,2019,Automatic,500,Diesel,260,35.7636,2.3,23495
12481,skoda, Scala,2019,Semi-Auto,5449,Petrol,150,45.6665,1.5,15995
12483,hyundi, Santa Fe,2017,Manual,30956,Diesel,200,46.6722,2.2,17995
12484,vw, Beetle,2016,Manual,14382,Petrol,165,43.6216,2,14980
12486,vauxhall, Combo Life,2019,Manual,6797,Diesel,145,53.3259,1.5,14298
12488,vw, Scirocco,2015,Semi-Auto,79929,Diesel,125,53.4331,2,11421
12489,ford, Grand C-MAX,2017,Manual,35853,Diesel,30,64.5047,1.5,10498
12490,ford, Grand C-MAX,2016,Manual,19000,Petrol,30,54.619,1,11995
12491,toyota, IQ,2011,Automatic,30000,Petrol,20,59.1433,1,5500
12492,vauxhall, Agila,2008,Manual,63000,Petrol,145,51.4618,1.2,1999
12493,vw, Beetle,2013,Manual,38333,Petrol,235,36.9547,2,10400
12494,merc, V Class,2019,Automatic,14227,Diesel,145,45.5143,2.2,38949
12495,ford, Galaxy,2017,Manual,20747,Diesel,150,56.6089,2,17799
12496,merc, GLS Class,2020,Semi-Auto,452,Diesel,145,30.397,3,71991
12497,ford, KA,2015,Manual,29444,Petrol,30,57.735,1.2,5995
12498,vauxhall, GTC,2017,Automatic,8596,Petrol,205,42.6236,1.4,12298
12499,vw, Caravelle,2020,Semi-Auto,1000,Diesel,145,34.0187,2,50395
12500,ford, Grand C-MAX,2013,Manual,58873,Diesel,125,60.1794,1.6,6799
12502,vw, Scirocco,2015,Manual,41001,Diesel,20,55.215,2,11998
12503,toyota, Hilux,2018,Manual,24775,Diesel,260,40.2604,2.4,19298
12505,vw, CC,2014,Manual,72719,Diesel,30,60.1532,2,7627
12509,audi, RS4,2014,Manual,60000,Petrol,555,26.5371,4.2,25975
12510,vw, Arteon,2018,Semi-Auto,20656,Petrol,145,47.388,2,20498
12512,skoda, Scala,2019,Manual,451,Diesel,145,58.0214,1.6,15485
12513,vw, Shuttle,2019,Manual,925,Diesel,145,37.7888,2,23489
12514,hyundi, IX35,2014,Manual,37095,Diesel,145,53.4862,1.7,9139
12515,toyota, Verso,2018,Semi-Auto,3252,Petrol,145,43.0874,1.8,17995
12516,skoda, Rapid,2017,Manual,55115,Diesel,0,74.4017,1.6,7450
12517,vw, Scirocco,2014,Manual,63617,Diesel,30,62.8399,2,9650
12519,toyota, Verso,2014,Manual,30437,Petrol,200,42.7601,1.6,9491
12520,merc, S Class,2016,Semi-Auto,36121,Diesel,200,47.8348,3,26498
12523,vw, Beetle,2005,Manual,93839,Petrol,260,40.7841,1.6,1495
12524,merc, CLS Class,2019,Semi-Auto,2798,Diesel,145,48.011,2.9,47899
12525,toyota, Verso,2016,Automatic,22703,Petrol,165,43.552,1.8,14995
12526,merc, CLA Class,2014,Manual,82580,Diesel,30,63.9588,1.8,12795
